Trip_ID,Travel_Date,Year,Month,Season,Origin_Country,Destination_Country,Traveler_Age_Group,Traveler_Gender,Group_Type,Group_Size,Travel_Purpose,Travel_Mode,Duration_Days,Accommodation_Type,Booking_Channel,Visa_Type,Travel_Insurance,Climate_Preference,Primary_Attraction,Total_Spend_USD,Flight_Cost_USD,Accommodation_Cost_USD,Food_Cost_USD,Activities_Cost_USD,Payment_Method,Advance_Booking_Days,Repeat_Visitor,Used_Travel_App,Rating_Out_Of_5,Satisfaction_Level,Would_Recommend,Number_Of_Attractions_Visited,Local_Transport_Used,Sustainable_Tourism_Choice
TRP100000,19-12-2021,2021,12,Winter,Sweden,Morocco,45-54,Female,Friends Group,2,Business,Ferry,8,Hostel,Mobile App,Visa Free,No,Temperate,Mountains/Trekking,944.3,278.55,256.66,143.15,265.94,Bank Transfer,36,Yes,Yes,3,Neutral,Yes,2,No,No
TRP100001,08-05-2021,2021,5,Spring,Thailand,Kenya,65+,Female,Business Group,11,Medical,Cruise,21,Airbnb/Vacation Rental,Direct Hotel,Visa on Arrival,No,Arctic/Cold,Wellness/Spa,3889.05,1395.86,1061.58,604.85,826.76,Debit Card,351,No,No,3,Neutral,Yes,14,Yes,Yes
TRP100002,20-05-2021,2021,5,Spring,Spain,New Zealand,65+,Male,Family,3,Business,Cruise,30,Hostel,Mobile App,Visa Free,No,Temperate,Art & Museums,7833.26,3354.86,2455.23,1626.87,396.3,Cash,113,No,Yes,3,Neutral,Yes,13,Yes,Yes
TRP100003,01-04-2024,2024,4,Spring,Saudi Arabia,Australia,18-24,Female,Solo,11,Adventure,Ferry,16,Hostel,Mobile App,E-Visa,Yes,Arctic/Cold,Art & Museums,10750.15,3752.9,2977.29,2035.9,1984.06,Debit Card,233,Yes,No,4,Satisfied,No,9,No,No
TRP100004,12-12-2024,2024,12,Winter,South Africa,Thailand,35-44,Female,Solo,6,Medical,Road Trip,12,Airbnb/Vacation Rental,Online Travel Agency,Business Visa,Yes,Tropical,Theme Parks,4200.09,1479.45,968.41,900.4,851.83,Credit Card,273,No,Yes,2,Dissatisfied,No,9,Yes,No
TRP100005,30-06-2022,2022,6,Summer,Indonesia,Turkey,65+,Male,Business Group,8,Religious,Flight,9,Airbnb/Vacation Rental,Direct Hotel,Tourist Visa,No,Tropical,Wellness/Spa,896.36,387.43,314.67,182.39,11.87,Debit Card,302,Yes,Yes,4,Satisfied,Yes,4,Yes,Yes
TRP100006,25-06-2020,2020,6,Summer,Argentina,Morocco,55-64,Male,Friends Group,7,Business,Cruise,30,4-Star Hotel,Online Travel Agency,Visa on Arrival,No,Desert,Art & Museums,10494.43,2723.32,3502.99,1386.69,2881.43,Travel Card,28,No,No,3,Neutral,Yes,7,Yes,No
TRP100007,14-02-2022,2022,2,Winter,Germany,Thailand,45-54,Female,Business Group,2,Cultural,Flight,22,5-Star Hotel,Online Travel Agency,Business Visa,Yes,Desert,Theme Parks,3833.66,949.03,1110.7,625.97,1147.96,Travel Card,110,No,No,4,Satisfied,Yes,1,No,Yes
TRP100008,16-06-2024,2024,6,Summer,Brazil,Portugal,25-34,Female,Business Group,12,Medical,Ferry,8,5-Star Hotel,Mobile App,E-Visa,Yes,Tropical,Theme Parks,4591.54,1717.91,1589.14,998.68,285.81,Cryptocurrency,272,Yes,No,5,Very Satisfied,Yes,3,Yes,Yes
TRP100009,12-06-2019,2019,6,Summer,Mexico,Switzerland,65+,Female,Business Group,6,Religious,Road Trip,27,Airbnb/Vacation Rental,Mobile App,E-Visa,Yes,Arctic/Cold,Art & Museums,2561.03,1115.07,804,478.5,163.46,Debit Card,344,No,Yes,4,Satisfied,No,15,Yes,No
TRP100010,30-11-2022,2022,11,Autumn,Australia,Mexico,35-44,Male,Friends Group,9,Business,Road Trip,20,5-Star Hotel,Mobile App,Visa Free,No,Mountainous,Historical Sites,4845.71,1620.45,1459.42,580.85,1184.99,Debit Card,136,Yes,Yes,2,Dissatisfied,No,5,Yes,Yes
TRP100011,28-07-2019,2019,7,Summer,Mexico,Morocco,35-44,Male,Family,3,Cultural,Road Trip,24,3-Star Hotel,Mobile App,Visa on Arrival,No,Temperate,Beaches,5095.34,1662.88,1274.98,1203.64,953.84,Credit Card,39,No,No,5,Very Satisfied,Yes,1,No,No
TRP100012,13-06-2019,2019,6,Summer,Japan,Maldives,65+,Male,Solo,6,Religious,Ferry,12,Boutique Hotel,Tour Operator,Business Visa,Yes,Mediterranean,Wildlife/Safari,3451.44,726.38,942,828.22,954.84,Travel Card,13,Yes,No,2,Dissatisfied,No,7,No,No
TRP100013,11-04-2024,2024,4,Spring,Netherlands,Switzerland,35-44,Male,Couple,4,Medical,Flight,12,Airbnb/Vacation Rental,Airline Website,E-Visa,No,Tropical,Cities/Urban,1323.15,525.08,293.24,305.42,199.41,Cash,329,No,No,5,Very Satisfied,No,6,No,Yes
